dx,TERM,CHAPTER,BLOCK
E559,"Vitamin D deficiency, unspecified","Endocrine, nutritional and metabolic diseases",Other nutritional deficiencies
F329,"Depressive episode, unspecified",Mental and behavioural disorders,Mood [affective] disorders
F432,Adjustment disorders,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
G255,Other chorea,Diseases of the nervous system,Extrapyramidal and movement disorders
A419,"Sepsis, unspecified",Certain infectious and parasitic diseases,Other bacterial diseases
B378,Candidiasis of other sites,Certain infectious and parasitic diseases,Mycoses
B909,Sequelae of respiratory and unspecified tuberculosis,Certain infectious and parasitic diseases,Sequelae of infectious and parasitic diseases
B962,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents"
C20,Malignant neoplasm of rectum,Neoplasms,Malignant neoplasms
D350,Benign neoplasm of adrenal gland,Neoplasms,Benign neoplasms
D649,"Anaemia, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
D692,Other nonthrombocytopenic purpura,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D696,"Thrombocytopenia, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
E042,Nontoxic multinodular goitre,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
E049,"Nontoxic goitre, unspecified","Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
E063,Autoimmune thyroiditis,"Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
E112,"Type 2 diabetes mellitus, with renal complications","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
E117,"Type 2 diabetes mellitus, with multiple complications","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
E208,Other hypoparathyroidism,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E249,"Cushing's syndrome, unspecified","Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E260,Primary hyperaldosteronism,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E269,"Hyperaldosteronism, unspecified","Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E668,Other obesity,"Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation
E669,"Obesity, unspecified","Endocrine, nutritional and metabolic diseases",Obesity and other hyperalimentation
E873,Alkalosis,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E890,Postprocedural hypothyroidism,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
F840,Childhood autism,Mental and behavioural disorders,Disorders of psychological development
F900,Disturbance of activity and attention,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
G442,Tension-type headache,Diseases of the nervous system,Episodic and paroxysmal disorders
G473,Sleep apnoea,Diseases of the nervous system,Episodic and paroxysmal disorders
G629,"Polyneuropathy, unspecified",Diseases of the nervous system,Polyneuropathies and other disorders of the peripheral nervous system
H350,Background retinopathy and retinal vascular changes,Diseases of the eye and adnexa,Disorders of choroid and retina
H360,Diabetic retinopathy (E10-E14+ with common fourth character .3),Diseases of the eye and adnexa,Disorders of choroid and retina
H409,"Glaucoma, unspecified",Diseases of the eye and adnexa,Glaucoma
I517,Cardiomegaly,Diseases of the circulatory system,Other forms of heart disease
J189,"Pneumonia, unspecified",Diseases of the respiratory system,Influenza and pneumonia
J81,Pulmonary oedema,Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium
K250,Gastric ulcer: acute with haemorrhage,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K30,Functional dyspepsia,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K449,Diaphragmatic hernia without obstruction or gangrene,Diseases of the digestive system,Hernia
K758,Other specified inflammatory liver diseases,Diseases of the digestive system,Diseases of liver
M0699,"Rheumatoid arthritis, unspecified: site unspecified",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M1189,Other specified crystal arthropathies: site unspecified,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M179,"Gonarthrosis, unspecified",Diseases of the musculoskeletal system and connective tissue,Arthropathies
M4206,Juvenile osteochondrosis of spine: Lumbar region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M4316,Spondylolisthesis: Lumbar region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M4786,Other spondylosis: Lumbar region,Diseases of the musculoskeletal system and connective tissue,Dorsopathies
M8199,"Osteoporosis, unspecified: site unspecified",Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies
N001,Acute nephritic syndrome: focal and segmental glomerular lesions,Diseases of the genitourinary system,Glomerular diseases
N083,Glomerular disorders in diabetes mellitus (E10-E14+ with common fourth character .2),Diseases of the genitourinary system,Glomerular diseases
N10,Acute tubulo-interstitial nephritis,Diseases of the genitourinary system,Renal tubulo-interstitial diseases
N184,"Chronic kidney disease, stage 4",Diseases of the genitourinary system,Renal failure
N300,Acute cystitis,Diseases of the genitourinary system,Other diseases of urinary system
N939,"Abnormal uterine and vaginal bleeding, unspecified",Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
Q447,Other congenital malformations of liver,"Congenital malformations, deformations and chromosomal abnormalities",Other congenital malformations of the digestive system
Q938,Other deletions from the autosomes,"Congenital malformations, deformations and chromosomal abnormalities","Chromosomal abnormalities, not elsewhere classified"
R001,"Bradycardia, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the circulatory and respiratory systems
R31,Unspecified haematuria,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Symptoms and signs involving the urinary system
R42,Dizziness and giddiness,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Symptoms and signs involving cognition, perception, emotional state and behaviour"
R730,Abnormal glucose tolerance test,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis"
R80,Isolated proteinuria,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of urine, without diagnosis"
T810,"Haemorrhage and haematoma complicating a procedure, not elsewhere classified","Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
A090,Other and unspecified gastroenteritis and colitis of infectious origin,Certain infectious and parasitic diseases,Intestinal Infectious Diseases
A199,"Miliary tuberculosis, unspecified",Certain infectious and parasitic diseases,Tuberculosis
C61,Malignant neoplasm of prostate,Neoplasms,Malignant neoplasms
C679,"Malignant neoplasm of bladder, unspecified",Neoplasms,Malignant neoplasms
D721,Eosinophilia,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs
E222,Syndrome of inappropriate secretion of antidiuretic hormone,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E274,Other and unspecified adrenocortical insufficiency,"Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E833,Disorders of phosphorus metabolism and phosphatases,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E835,Disorders of calcium metabolism,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
H405,Glaucoma secondary to other eye disorders,Diseases of the eye and adnexa,Glaucoma
J209,"Acute bronchitis, unspecified",Diseases of the respiratory system,Other acute lower respiratory infections
J441,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",Diseases of the respiratory system,Chronic lower respiratory diseases
J939,"Pneumothorax, unspecified",Diseases of the respiratory system,Other diseases of pleura
K279,"Peptic ulcer, site unspecified: unspecified as acute or chronic, without haemorrhage or perforation",Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K922,"Gastrointestinal haemorrhage, unspecified",Diseases of the digestive system,Other diseases of the digestive system
L031,Cellulitis of other parts of limb,Diseases of the skin and subcutaneous tissue,Infections of the skin and subcutaneous tissue
L890,Stage I decubitus ulcer and pressure area,Diseases of the skin and subcutaneous tissue,Other disorders of the skin and subcutaneous tissue
M321,Systemic lupus erythematosus with involvement of organs and systems,Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
